,ONON
2023-07-03,32.87
2023-06-30,31.86
2023-06-29,31.32
2023-06-28,30.99
2023-06-27,30.67
2023-06-26,29.83
2023-06-23,28.52
2023-06-22,28.55
2023-06-21,28.26
2023-06-20,28.33
2023-06-16,29.76
2023-06-15,29.22
2023-06-14,29.67
2023-06-13,29.72
2023-06-12,29.72
2023-06-09,29.75
2023-06-08,28.00
2023-06-07,27.95
2023-06-06,28.28
2023-06-05,27.64
2023-06-02,27.42
2023-06-01,26.87
2023-05-31,27.02
2023-05-30,27.29
2023-05-26,26.57
2023-05-25,26.04
2023-05-24,25.51
2023-05-23,26.50
2023-05-22,26.42
2023-05-19,26.10
2023-05-18,26.86
2023-05-17,27.52
2023-05-16,29.62
2023-05-15,32.91
2023-05-12,32.54
2023-05-11,32.43
2023-05-10,32.35
2023-05-09,33.18
2023-05-08,33.57
2023-05-05,32.75
2023-05-04,32.13
2023-05-03,31.46
2023-05-02,31.31
2023-05-01,32.13
2023-04-28,31.87
2023-04-27,30.60
2023-04-26,32.02
2023-04-25,32.00
2023-04-24,32.81
2023-04-21,31.62
2023-04-20,31.00
2023-04-19,31.28
2023-04-18,30.56
2023-04-17,29.92
2023-04-14,29.99
2023-04-13,29.33
2023-04-12,29.11
2023-04-11,29.66
2023-04-10,28.86
2023-04-06,28.25
2023-04-05,29.00
2023-04-04,31.68
2023-04-03,29.95
2023-03-31,29.86
2023-03-30,30.77
2023-03-29,29.84
2023-03-28,29.36
2023-03-27,29.92
2023-03-24,29.90
2023-03-23,27.60
2023-03-22,27.01
2023-03-21,25.50
2023-03-20,21.12
2023-03-17,21.29
2023-03-16,20.80
2023-03-15,19.90
2023-03-14,20.52
2023-03-13,19.90
2023-03-10,20.04
2023-03-09,20.95
2023-03-08,21.81
2023-03-07,22.03
2023-03-06,22.32
2023-03-03,22.61
2023-03-02,22.00
2023-03-01,21.88
2023-02-28,21.39
2023-02-27,20.97
2023-02-24,20.31
2023-02-23,20.90
2023-02-22,20.75
2023-02-21,20.72
2023-02-17,21.58
2023-02-16,22.09
2023-02-15,22.88
2023-02-14,21.35
2023-02-13,20.95
2023-02-10,20.59
2023-02-09,21.02
2023-02-08,21.10
2023-02-07,21.30
2023-02-06,21.95
2023-02-03,22.69
2023-02-02,23.38
2023-02-01,22.74
2023-01-31,22.83
2023-01-30,22.44
2023-01-27,22.05
2023-01-26,22.03
2023-01-25,21.05
2023-01-24,21.70
2023-01-23,21.21
2023-01-20,20.59
2023-01-19,20.19
2023-01-18,20.70
2023-01-17,20.35
2023-01-13,20.08
2023-01-12,19.95
2023-01-11,19.62
2023-01-10,19.21
2023-01-09,18.63
2023-01-06,17.72
2023-01-05,16.60
2023-01-04,17.07
2023-01-03,16.84
2022-12-30,16.83
2022-12-29,16.54
2022-12-28,16.08
2022-12-27,16.07
2022-12-23,15.91
2022-12-22,16.00
2022-12-21,16.73
2022-12-20,16.07
2022-12-19,16.22
2022-12-16,16.33
2022-12-15,16.92
2022-12-14,17.45
2022-12-13,17.50
2022-12-12,17.18
2022-12-09,17.33
2022-12-08,17.77
2022-12-07,17.73
2022-12-06,17.72
2022-12-05,18.68
2022-12-02,18.02
2022-12-01,19.01
2022-11-30,18.40
2022-11-29,18.42
2022-11-28,18.34
2022-11-25,18.10
2022-11-23,18.09
2022-11-22,16.90
2022-11-21,16.58
2022-11-18,16.68
2022-11-17,17.20
2022-11-16,17.64
2022-11-15,20.02
2022-11-14,18.83
2022-11-11,18.25
2022-11-10,17.51
2022-11-09,16.32
2022-11-08,16.90
2022-11-07,16.86
2022-11-04,17.22
2022-11-03,16.46
2022-11-02,16.80
2022-11-01,17.70
2022-10-31,17.22
2022-10-28,16.93
2022-10-27,17.17
2022-10-26,17.47
2022-10-25,16.96
2022-10-24,15.95
2022-10-21,15.87
2022-10-20,15.64
2022-10-19,16.07
2022-10-18,16.73
2022-10-17,16.35
2022-10-14,16.07
2022-10-13,15.76
2022-10-12,16.10
2022-10-11,15.44
2022-10-10,15.88
2022-10-07,16.58
2022-10-06,17.87
2022-10-05,17.20
2022-10-04,17.36
2022-10-03,16.01
2022-09-30,15.90
2022-09-29,16.93
2022-09-28,16.91
2022-09-27,16.35
2022-09-26,16.55
2022-09-23,16.42
2022-09-22,16.95
2022-09-21,17.67
2022-09-20,17.73
2022-09-19,17.83
2022-09-16,17.79
2022-09-15,18.41
2022-09-14,18.65
2022-09-13,19.03
2022-09-12,20.37
2022-09-09,19.89
2022-09-08,19.34
2022-09-07,18.62
2022-09-06,18.34
2022-09-02,18.91
2022-09-01,18.87
2022-08-31,19.80
2022-08-30,20.31
2022-08-29,20.31
2022-08-26,20.65
2022-08-25,21.50
2022-08-24,21.46
2022-08-23,21.69
2022-08-22,21.63
2022-08-19,22.23
2022-08-18,22.22
2022-08-17,23.88
2022-08-16,22.75
2022-08-15,24.08
2022-08-12,23.63
2022-08-11,23.44
2022-08-10,23.38
2022-08-09,22.07
2022-08-08,22.97
2022-08-05,21.70
2022-08-04,22.07
2022-08-03,21.80
2022-08-02,21.58
2022-08-01,21.64
2022-07-29,20.78
2022-07-28,18.95
2022-07-27,18.57
2022-07-26,18.30
2022-07-25,19.01
2022-07-22,19.02
2022-07-21,19.00
2022-07-20,18.52
2022-07-19,18.01
2022-07-18,17.56
2022-07-15,16.16
2022-07-14,16.20
2022-07-13,16.94
2022-07-12,17.07
2022-07-11,17.33
2022-07-08,17.64
2022-07-07,17.61
2022-07-06,17.61
2022-07-05,17.05
2022-07-01,17.30
2022-06-30,16.64
2022-06-29,17.00
2022-06-28,17.42
2022-06-27,17.96
2022-06-24,18.56
2022-06-23,17.08
2022-06-22,16.80
2022-06-21,17.09
2022-06-17,16.73
2022-06-16,16.75
2022-06-15,18.43
2022-06-14,18.70
2022-06-13,18.51
2022-06-10,19.76
2022-06-09,20.46
2022-06-08,20.55
2022-06-07,20.73
2022-06-06,20.27
2022-06-03,21.61
2022-06-02,21.18
2022-06-01,20.50
2022-05-31,20.50
2022-05-27,19.94
2022-05-26,18.80
2022-05-25,17.82
2022-05-24,18.06
2022-05-23,18.78
2022-05-20,18.93
2022-05-19,19.25
2022-05-18,18.86
2022-05-17,19.90
2022-05-16,19.34
2022-05-13,19.28
2022-05-12,16.38
2022-05-11,16.54
2022-05-10,19.31
2022-05-09,20.17
2022-05-06,20.80
2022-05-05,22.96
2022-05-04,24.21
2022-05-03,25.77
2022-05-02,24.36
2022-04-29,24.67
2022-04-28,23.97
2022-04-27,23.23
2022-04-26,23.37
2022-04-25,25.33
2022-04-22,25.33
2022-04-21,25.38
2022-04-20,25.47
2022-04-19,24.70
2022-04-18,23.70
2022-04-14,24.22
2022-04-13,23.47
2022-04-12,23.25
2022-04-11,22.40
2022-04-08,22.44
2022-04-07,22.60
2022-04-06,23.31
2022-04-05,24.92
2022-04-04,25.35
2022-04-01,24.87
2022-03-31,25.23
2022-03-30,25.79
2022-03-29,25.05
2022-03-28,23.88
2022-03-25,24.80
2022-03-24,26.08
2022-03-23,27.03
2022-03-22,27.60
2022-03-21,26.37
2022-03-18,25.53
2022-03-17,22.88
2022-03-16,22.10
2022-03-15,19.75
2022-03-14,19.87
2022-03-11,21.87
2022-03-10,22.10
2022-03-09,21.70
2022-03-08,20.61
2022-03-07,20.69
2022-03-04,21.63
2022-03-03,22.47
2022-03-02,21.99
2022-03-01,21.39
2022-02-28,23.28
2022-02-25,23.58
2022-02-24,22.00
2022-02-23,23.25
2022-02-22,23.55
2022-02-18,24.92
2022-02-17,26.33
2022-02-16,27.01
2022-02-15,27.26
2022-02-14,26.82
2022-02-11,27.00
2022-02-10,29.03
2022-02-09,29.70
2022-02-08,28.30
2022-02-07,27.93
2022-02-04,26.52
2022-02-03,26.71
2022-02-02,28.10
2022-02-01,26.79
2022-01-31,24.50
2022-01-28,22.82
2022-01-27,23.85
2022-01-26,24.56
2022-01-25,24.66
2022-01-24,23.75
2022-01-21,24.04
2022-01-20,26.16
2022-01-19,26.58
2022-01-18,26.50
2022-01-14,26.38
2022-01-13,29.07
2022-01-12,30.00
2022-01-11,31.72
2022-01-10,29.50
2022-01-07,31.80
2022-01-06,32.00
2022-01-05,32.00
2022-01-04,35.81
2022-01-03,38.11
2021-12-31,37.80
2021-12-30,36.71
2021-12-29,34.75
2021-12-28,35.10
2021-12-27,36.37
2021-12-23,37.00
2021-12-22,36.69
2021-12-21,35.68
2021-12-20,34.53
2021-12-17,34.10
2021-12-16,35.67
2021-12-15,34.85
2021-12-14,34.60
2021-12-13,35.51
2021-12-10,37.56
2021-12-09,39.20
2021-12-08,41.31
2021-12-07,40.60
2021-12-06,36.21
2021-12-03,36.01
2021-12-02,37.14
2021-12-01,38.83
2021-11-30,38.35
2021-11-29,41.71
2021-11-26,41.15
2021-11-24,42.00
2021-11-23,41.30
2021-11-22,41.10
2021-11-19,42.21
2021-11-18,44.95
2021-11-17,43.05
2021-11-16,39.30
2021-11-15,36.10
2021-11-12,35.85
2021-11-11,35.55
2021-11-10,36.91
2021-11-09,37.51
2021-11-08,36.90
2021-11-05,37.89
2021-11-04,36.19
2021-11-03,35.33
2021-11-02,35.21
2021-11-01,34.22
2021-10-29,33.03
2021-10-28,32.93
2021-10-27,33.68
2021-10-26,34.65
2021-10-25,33.01
2021-10-22,32.50
2021-10-21,31.18
2021-10-20,30.10
2021-10-19,29.41
2021-10-18,29.34
2021-10-15,29.60
2021-10-14,29.15
2021-10-13,30.65
2021-10-12,30.11
2021-10-11,30.30
2021-10-08,29.01
2021-10-07,29.29
2021-10-06,29.22
2021-10-05,28.93
2021-10-04,28.10
2021-10-01,29.80
2021-09-30,30.06
2021-09-29,30.31
2021-09-28,31.85
2021-09-27,32.92
2021-09-24,35.60
2021-09-23,35.84
2021-09-22,35.55
2021-09-21,36.01
2021-09-20,34.35
2021-09-17,38.15
2021-09-16,35.90
2021-09-15,34.50
